Dry,Oily,Normal,Combination,Sensitive,primary_concern,age_group,product_type,age_encoded,concern_encoded
1,0,1,0,0,Eczema,46-55,Sunscreen,3,2
1,0,0,0,0,Redness,36-45,General Moisturizer,2,4
1,0,0,0,0,Eczema,36-45,Day Moisturizer,2,2
1,0,0,0,0,Redness,36-45,Emulsion,2,4
0,0,0,0,1,Eczema,18-25,Sunscreen,0,2
0,0,0,0,1,Eczema,18-25,Sunscreen,0,2
1,0,0,0,0,Eczema,18-25,Serum,0,2
1,0,0,0,0,Eczema,36-45,Sunscreen,2,2
0,0,0,0,1,Eczema,26-35,General Moisturizer,1,2
0,0,0,0,1,Eczema,36-45,Wet Mask,2,2
0,0,0,0,1,Redness,56+,General Moisturizer,4,4
1,0,0,0,0,Eczema,26-35,Sunscreen,1,2
0,1,0,0,0,Acne,18-25,Face Cleanser,0,0
0,0,0,0,1,Sensitivity,46-55,Facial Treatment,3,5
0,0,0,0,1,Redness,26-35,Eye Moisturizer,1,4
1,0,0,0,0,Eczema,18-25,Sunscreen,0,2
1,0,0,0,0,Dryness,26-35,Face Cleanser,1,1
1,0,0,0,0,Redness,26-35,Overnight Mask,1,4
1,0,0,0,0,Redness,56+,Sunscreen,4,4
1,0,0,0,0,Eczema,46-55,Day Moisturizer,3,2
1,0,0,0,0,Eczema,36-45,Face Cleanser,2,2
0,1,0,0,0,Acne,36-45,Face Cleanser,2,0
1,0,0,0,0,Eczema,46-55,Day Moisturizer,3,2
1,0,0,0,0,Eczema,18-25,Serum,0,2
1,0,0,0,0,Redness,56+,Sunscreen,4,4
1,0,0,0,0,Dryness,36-45,Sunscreen,2,1
1,1,0,0,1,Acne,26-35,Wet Mask,1,0
1,0,0,0,0,Dryness,56+,Face Cleanser,4,1
1,1,0,0,1,Acne,18-25,Serum,0,0
1,0,0,0,0,Dryness,18-25,Face Cleanser,0,1
1,0,0,0,0,Eczema,26-35,Sunscreen,1,2
1,0,0,0,0,Eczema,26-35,Day Moisturizer,1,2
0,0,0,0,1,Sensitivity,46-55,Face Cleanser,3,5
1,0,0,0,0,Eczema,46-55,Sunscreen,3,2
0,0,0,0,1,Eczema,18-25,Serum,0,2
1,0,0,0,0,Acne,26-35,Day Moisturizer,1,0
1,0,0,0,0,Eczema,26-35,Sunscreen,1,2
0,1,0,0,0,Acne,18-25,Face Cleanser,0,0
0,0,0,0,1,Eczema,18-25,Sunscreen,0,2
1,0,0,0,0,Redness,26-35,Face Cleanser,1,4
0,1,0,0,0,Acne,36-45,Face Cleanser,2,0
1,0,0,0,0,Hyperpigmentation,26-35,Face Cleanser,1,3
1,0,0,0,0,Dryness,36-45,Face Cleanser,2,1
0,0,0,0,1,Redness,46-55,Wet Mask,3,4
0,0,0,0,1,Eczema,26-35,Eye Moisturizer,1,2
1,0,0,0,1,Dryness,56+,Sheet Mask,4,1
1,0,0,0,0,Eczema,56+,Sunscreen,4,2
1,0,0,0,0,Hyperpigmentation,26-35,Eye Moisturizer,1,3
1,0,0,0,0,Eczema,36-45,Sunscreen,2,2
1,1,0,0,0,Acne,18-25,Sunscreen,0,0
1,0,0,0,0,Eczema,26-35,Face Cleanser,1,2
0,1,0,0,0,Acne,18-25,Emulsion,0,0
0,0,0,0,1,Redness,36-45,Sheet Mask,2,4
0,0,0,0,1,Eczema,36-45,Eye Moisturizer,2,2
0,0,0,0,1,Sensitivity,18-25,Face Cleanser,0,5
1,0,0,0,0,Redness,26-35,Toner,1,4
1,0,1,0,0,Redness,56+,Serum,4,4
0,0,0,0,1,Sensitivity,26-35,Sunscreen,1,5
0,0,0,0,1,Sensitivity,18-25,Face Cleanser,0,5
1,0,0,0,0,Eczema,36-45,Sunscreen,2,2
1,0,0,0,0,Redness,56+,Face Cleanser,4,4
0,0,0,0,1,Redness,26-35,Emulsion,1,4
0,0,0,0,1,Sensitivity,36-45,Sunscreen,2,5
0,1,0,0,0,Acne,26-35,Sunscreen,1,0
0,1,0,0,0,Acne,18-25,Day Moisturizer,0,0
1,0,0,0,0,Redness,46-55,Emulsion,3,4
1,0,0,0,0,Eczema,26-35,Sunscreen,1,2
1,0,0,0,0,Dryness,36-45,General Moisturizer,2,1
1,0,0,0,1,Eczema,36-45,Eye Moisturizer,2,2
0,1,0,0,0,Acne,26-35,Sunscreen,1,0
0,1,0,0,0,Redness,18-25,Face Cleanser,0,4
1,0,0,0,0,Eczema,46-55,General Moisturizer,3,2
1,0,0,0,1,Eczema,26-35,Sunscreen,1,2
0,0,0,0,1,Eczema,18-25,Sheet Mask,0,2
1,0,0,0,0,Redness,18-25,Overnight Mask,0,4
1,0,0,0,0,Redness,36-45,Overnight Mask,2,4
0,0,0,0,1,Sensitivity,36-45,Face Cleanser,2,5
1,0,0,0,0,Redness,18-25,Wet Mask,0,4
1,0,0,0,0,Eczema,36-45,Day Moisturizer,2,2
0,0,0,0,1,Sensitivity,26-35,General Moisturizer,1,5
1,0,0,0,0,Redness,36-45,Serum,2,4
1,0,0,0,0,Redness,26-35,General Moisturizer,1,4
0,1,0,0,0,Acne,26-35,Sunscreen,1,0
1,0,0,0,0,Eczema,26-35,Sunscreen,1,2
1,0,0,0,0,Dryness,56+,Sunscreen,4,1
1,0,0,0,0,Eczema,18-25,Face Cleanser,0,2
1,0,0,0,0,Eczema,26-35,Sunscreen,1,2
0,0,0,0,1,Sensitivity,18-25,General Moisturizer,0,5
0,1,0,0,0,Acne,36-45,Face Cleanser,2,0
1,0,0,0,0,Redness,46-55,Sheet Mask,3,4
0,1,0,0,0,Eczema,26-35,Face Cleanser,1,2
1,0,0,0,0,Hyperpigmentation,46-55,Face Cleanser,3,3
1,0,0,0,0,Eczema,46-55,Sunscreen,3,2
0,0,0,0,1,Redness,36-45,Essence,2,4
0,0,0,0,1,Sensitivity,36-45,Exfoliator,2,5
0,0,0,0,1,Redness,26-35,Face Cleanser,1,4
1,0,1,0,0,Eczema,18-25,Sunscreen,0,2
1,0,0,0,1,Eczema,46-55,Wet Mask,3,2
1,0,0,0,0,Dryness,56+,General Moisturizer,4,1
0,1,0,0,0,Acne,26-35,Sunscreen,1,0
1,0,0,0,0,Eczema,26-35,Face Cleanser,1,2
1,0,0,0,0,Redness,26-35,Face Cleanser,1,4
1,0,0,0,0,Eczema,36-45,Serum,2,2
1,0,0,0,0,Eczema,46-55,General Moisturizer,3,2
1,0,0,0,0,Eczema,46-55,Day Moisturizer,3,2
1,0,0,0,0,Hyperpigmentation,46-55,Exfoliator,3,3
1,0,0,0,0,Redness,36-45,Serum,2,4
1,0,0,0,0,Hyperpigmentation,18-25,General Moisturizer,0,3
0,0,0,0,1,Redness,26-35,Face Cleanser,1,4
1,0,0,0,1,Dryness,56+,Serum,4,1
0,0,0,0,1,Eczema,36-45,General Moisturizer,2,2
1,0,0,0,0,Redness,18-25,Sunscreen,0,4
1,0,0,0,1,Eczema,18-25,General Moisturizer,0,2
1,0,0,0,1,Dryness,46-55,General Moisturizer,3,1
1,0,0,0,0,Eczema,18-25,General Moisturizer,0,2
0,0,0,0,1,Redness,26-35,Toner,1,4
1,0,0,0,1,Dryness,36-45,General Moisturizer,2,1
1,0,0,0,1,Hyperpigmentation,46-55,Emulsion,3,3
0,1,0,0,0,Acne,26-35,General Moisturizer,1,0
1,0,0,0,1,Dryness,26-35,Face Cleanser,1,1
0,0,0,0,1,Eczema,36-45,Exfoliator,2,2
0,0,0,0,1,Sensitivity,26-35,Emulsion,1,5
1,1,0,0,0,Acne,18-25,Day Moisturizer,0,0
1,0,0,0,0,Dryness,46-55,Wet Mask,3,1
1,0,0,0,0,Dryness,36-45,Eye Moisturizer,2,1
0,1,0,0,0,Acne,26-35,Facial Treatment,1,0
1,0,0,0,0,Hyperpigmentation,46-55,General Moisturizer,3,3
1,0,0,0,0,Dryness,36-45,Sunscreen,2,1
0,0,0,0,1,Eczema,18-25,Face Cleanser,0,2
1,1,0,0,1,Acne,18-25,Sunscreen,0,0
1,0,0,0,0,Dryness,26-35,Eye Moisturizer,1,1
0,0,0,0,1,Eczema,26-35,Face Cleanser,1,2
1,0,0,0,0,Eczema,56+,Essence,4,2
1,0,0,0,0,Dryness,36-45,Face Cleanser,2,1
0,1,0,0,0,Acne,36-45,Face Cleanser,2,0
0,0,0,0,1,Sensitivity,36-45,Face Cleanser,2,5
0,1,0,0,0,Acne,26-35,Face Cleanser,1,0
0,1,1,1,0,Eczema,36-45,General Moisturizer,2,2
1,0,1,0,0,Eczema,36-45,General Moisturizer,2,2
1,0,0,0,0,Eczema,36-45,Eye Moisturizer,2,2
1,0,0,0,0,Hyperpigmentation,26-35,Face Cleanser,1,3
0,0,0,0,1,Sensitivity,46-55,Wet Mask,3,5
0,1,0,0,1,Acne,18-25,General Moisturizer,0,0
1,0,0,0,1,Eczema,18-25,Wet Mask,0,2
1,0,0,0,0,Dryness,36-45,Wet Mask,2,1
0,1,0,0,0,Acne,18-25,Toner,0,0
0,1,0,0,0,Acne,36-45,Facial Treatment,2,0
1,0,0,0,0,Hyperpigmentation,56+,Face Cleanser,4,3
0,0,0,0,1,Eczema,56+,General Moisturizer,4,2
1,0,0,0,0,Hyperpigmentation,36-45,Face Cleanser,2,3
1,0,0,0,0,Eczema,18-25,General Moisturizer,0,2
1,0,0,0,0,Dryness,56+,Oil,4,1
1,0,0,0,0,Hyperpigmentation,36-45,General Moisturizer,2,3
1,0,0,0,0,Eczema,56+,Sunscreen,4,2
0,1,0,0,0,Acne,46-55,Facial Treatment,3,0
0,1,0,0,0,Acne,36-45,Toner,2,0
1,0,0,0,0,Eczema,26-35,Sunscreen,1,2
0,0,0,0,1,Eczema,26-35,Face Cleanser,1,2
1,0,0,0,1,Eczema,46-55,Face Cleanser,3,2
0,0,0,0,1,Eczema,26-35,Face Cleanser,1,2
1,0,0,0,1,Dryness,26-35,Sunscreen,1,1
0,0,1,0,0,Eczema,36-45,Sunscreen,2,2
1,0,0,0,0,Eczema,56+,Face Cleanser,4,2
1,0,1,0,0,Eczema,36-45,Day Moisturizer,2,2
0,0,0,0,1,Sensitivity,36-45,Day Moisturizer,2,5
1,0,0,0,0,Dryness,18-25,Facial Treatment,0,1
0,1,0,0,0,Acne,26-35,Face Cleanser,1,0
0,0,0,0,1,Redness,56+,Face Cleanser,4,4
1,0,0,0,0,Dryness,26-35,Exfoliator,1,1
1,0,0,0,0,Redness,36-45,General Moisturizer,2,4
0,0,0,0,1,Eczema,46-55,Sunscreen,3,2
1,0,0,0,0,Redness,46-55,Sunscreen,3,4
0,0,0,0,1,Sensitivity,36-45,Night Moisturizer,2,5
1,0,0,0,0,Eczema,36-45,Sunscreen,2,2
1,0,0,0,0,Eczema,26-35,Day Moisturizer,1,2
1,0,0,0,0,Eczema,26-35,Sunscreen,1,2
1,0,0,0,0,Eczema,46-55,General Moisturizer,3,2
0,0,0,0,1,Redness,46-55,General Moisturizer,3,4
0,0,0,0,1,Redness,46-55,Night Moisturizer,3,4
0,0,0,0,1,Sensitivity,56+,Exfoliator,4,5
0,1,0,0,0,Acne,26-35,Day Moisturizer,1,0
1,0,0,0,0,Eczema,36-45,Sunscreen,2,2
1,0,0,0,0,Dryness,46-55,Face Cleanser,3,1
1,0,0,0,0,Eczema,36-45,Sunscreen,2,2
1,0,0,0,0,Redness,46-55,Sunscreen,3,4
1,0,1,0,1,Eczema,46-55,Sunscreen,3,2
0,0,0,0,1,Sensitivity,46-55,General Moisturizer,3,5
0,0,0,0,1,Redness,26-35,Sheet Mask,1,4
1,0,0,0,0,Hyperpigmentation,36-45,General Moisturizer,2,3
1,0,0,0,1,Redness,18-25,Day Moisturizer,0,4
0,0,0,0,1,Redness,36-45,General Moisturizer,2,4
0,0,0,0,1,Sensitivity,18-25,General Moisturizer,0,5
0,0,0,0,1,Sensitivity,36-45,Eye Moisturizer,2,5
1,0,0,0,0,Eczema,36-45,Face Cleanser,2,2
1,0,0,0,0,Dryness,26-35,Face Cleanser,1,1
0,1,1,1,0,Eczema,36-45,Face Cleanser,2,2
0,1,0,0,0,Acne,18-25,Eye Moisturizer,0,0
1,0,0,0,0,Eczema,18-25,Wet Mask,0,2
0,1,0,0,0,Acne,26-35,General Moisturizer,1,0
0,1,0,0,0,Acne,18-25,Toner,0,0
0,0,0,0,1,Sensitivity,18-25,General Moisturizer,0,5
0,0,0,0,1,Redness,36-45,Sheet Mask,2,4
1,0,0,0,0,Dryness,46-55,General Moisturizer,3,1
1,0,0,0,0,Redness,26-35,Sunscreen,1,4
0,0,1,0,0,Redness,36-45,Day Moisturizer,2,4
1,0,0,0,1,Redness,18-25,Sunscreen,0,4
0,1,0,0,0,Acne,18-25,Facial Treatment,0,0
0,1,1,1,0,Acne,26-35,General Moisturizer,1,0
1,0,0,0,0,Redness,36-45,Wet Mask,2,4
1,0,0,0,0,Eczema,36-45,General Moisturizer,2,2
1,0,0,0,0,Eczema,36-45,Serum,2,2
1,0,0,0,0,Dryness,56+,Face Cleanser,4,1
1,1,0,0,0,Acne,26-35,Sunscreen,1,0
0,0,0,0,1,Sensitivity,26-35,General Moisturizer,1,5
0,1,0,0,0,Acne,26-35,Night Moisturizer,1,0
1,0,0,0,0,Eczema,26-35,Wet Mask,1,2
0,0,0,0,1,Redness,36-45,Sheet Mask,2,4
1,0,0,0,0,Redness,18-25,Essence,0,4
1,0,0,0,0,Hyperpigmentation,18-25,Sunscreen,0,3
0,0,0,0,1,Sensitivity,56+,General Moisturizer,4,5
1,0,0,0,0,Eczema,46-55,Sunscreen,3,2
0,0,0,0,1,Redness,46-55,Sheet Mask,3,4
0,0,0,0,1,Redness,36-45,Sheet Mask,2,4
1,0,0,0,0,Eczema,18-25,General Moisturizer,0,2
1,0,1,0,0,Eczema,18-25,General Moisturizer,0,2
1,0,0,0,0,Eczema,26-35,Serum,1,2
0,1,0,0,0,Acne,26-35,General Moisturizer,1,0
1,0,0,0,0,Redness,46-55,Face Cleanser,3,4
0,0,0,0,1,Redness,36-45,General Moisturizer,2,4
0,0,0,0,1,Eczema,26-35,Facial Treatment,1,2
1,0,0,0,0,Redness,56+,Eye Moisturizer,4,4
1,0,1,0,0,Eczema,46-55,Day Moisturizer,3,2
0,1,0,0,1,Acne,26-35,Day Moisturizer,1,0
1,0,0,0,0,Redness,36-45,Face Cleanser,2,4
1,0,0,0,0,Eczema,26-35,Face Cleanser,1,2
0,0,0,0,1,Eczema,26-35,General Moisturizer,1,2
1,0,0,0,0,Eczema,26-35,Toner,1,2
1,1,0,0,0,Acne,26-35,Facial Treatment,1,0
1,0,0,0,0,Hyperpigmentation,18-25,General Moisturizer,0,3
0,1,0,0,0,Acne,18-25,Wet Mask,0,0
1,0,0,0,0,Eczema,18-25,Exfoliator,0,2
0,1,0,0,0,Acne,18-25,Facial Treatment,0,0
1,0,1,0,0,Eczema,46-55,Sunscreen,3,2
0,1,0,0,0,Acne,26-35,Face Cleanser,1,0
0,1,0,0,0,Acne,18-25,Toner,0,0
0,1,1,1,0,Eczema,18-25,Exfoliator,0,2
0,1,1,1,0,Eczema,36-45,Toner,2,2
0,0,0,0,1,Sensitivity,36-45,Day Moisturizer,2,5
1,0,0,0,0,Redness,26-35,Toner,1,4
1,0,1,0,0,Eczema,26-35,Sunscreen,1,2
0,0,0,0,1,Sensitivity,26-35,General Moisturizer,1,5
0,0,0,0,1,Eczema,36-45,Face Cleanser,2,2
1,0,0,0,1,Eczema,36-45,Sunscreen,2,2
0,0,0,0,1,Eczema,18-25,Sunscreen,0,2
1,0,0,0,0,Hyperpigmentation,36-45,General Moisturizer,2,3
0,1,0,0,0,Acne,26-35,Facial Treatment,1,0
0,1,0,0,0,Acne,26-35,Facial Treatment,1,0
1,0,0,0,0,Redness,46-55,General Moisturizer,3,4
1,1,0,0,0,Acne,26-35,Facial Treatment,1,0
1,0,0,0,0,Eczema,18-25,Sunscreen,0,2
0,0,0,0,1,Sensitivity,18-25,General Moisturizer,0,5
1,0,0,0,0,Dryness,36-45,Serum,2,1
1,0,0,0,0,Redness,18-25,Face Cleanser,0,4
1,0,0,0,0,Eczema,36-45,Serum,2,2
1,0,0,0,0,Eczema,56+,Serum,4,2
1,0,1,0,0,Eczema,36-45,Sunscreen,2,2
0,1,0,0,0,Acne,18-25,Toner,0,0
0,0,0,0,1,Eczema,36-45,General Moisturizer,2,2
0,0,0,0,1,Eczema,26-35,Eye Moisturizer,1,2
1,0,0,0,0,Hyperpigmentation,36-45,Exfoliator,2,3
1,0,0,0,0,Hyperpigmentation,56+,Wet Mask,4,3
0,1,0,0,0,Redness,26-35,Wet Mask,1,4
0,0,0,0,1,Sensitivity,56+,Face Cleanser,4,5
1,0,0,0,0,Hyperpigmentation,56+,Exfoliator,4,3
0,0,0,0,1,Hyperpigmentation,26-35,Face Cleanser,1,3
0,0,0,0,1,Sensitivity,18-25,General Moisturizer,0,5
1,0,0,0,0,Hyperpigmentation,26-35,Face Cleanser,1,3
1,0,0,0,0,Hyperpigmentation,18-25,Serum,0,3
0,1,0,0,0,Acne,18-25,Face Cleanser,0,0
1,0,0,0,0,Eczema,36-45,Sunscreen,2,2
0,1,0,0,0,Acne,18-25,Eye Moisturizer,0,0
1,0,0,0,0,Eczema,26-35,General Moisturizer,1,2
1,0,0,0,0,Redness,46-55,Facial Treatment,3,4
0,0,0,0,1,Sensitivity,18-25,Face Cleanser,0,5
1,0,0,0,0,Redness,46-55,Toner,3,4
1,0,0,0,0,Hyperpigmentation,26-35,General Moisturizer,1,3
0,0,0,0,1,Sensitivity,18-25,Sunscreen,0,5
0,1,0,0,0,Acne,26-35,Exfoliator,1,0
1,0,0,0,0,Redness,36-45,General Moisturizer,2,4
0,0,1,0,0,Hyperpigmentation,56+,General Moisturizer,4,3
0,0,0,0,1,Eczema,46-55,Sunscreen,3,2
1,0,0,0,0,Eczema,46-55,General Moisturizer,3,2
1,0,1,0,1,Eczema,26-35,Sunscreen,1,2
1,0,0,0,0,Eczema,18-25,Face Cleanser,0,2
1,0,0,0,0,Eczema,46-55,Day Moisturizer,3,2
1,0,0,0,0,Eczema,46-55,General Moisturizer,3,2
1,0,0,0,0,Hyperpigmentation,56+,Sunscreen,4,3
0,0,0,0,1,Redness,36-45,Sunscreen,2,4
1,0,0,0,0,Dryness,36-45,General Moisturizer,2,1
1,0,0,0,0,Hyperpigmentation,46-55,General Moisturizer,3,3
1,0,0,0,0,Eczema,26-35,Sunscreen,1,2
1,0,0,0,0,Hyperpigmentation,56+,Sunscreen,4,3
1,0,0,0,0,Redness,46-55,Sunscreen,3,4
0,1,0,0,0,Acne,18-25,General Moisturizer,0,0
0,0,0,0,1,Redness,46-55,Face Cleanser,3,4
0,1,0,0,0,Acne,26-35,Exfoliator,1,0
0,0,0,0,1,Sensitivity,18-25,Eye Moisturizer,0,5
0,0,1,0,0,Redness,56+,Overnight Mask,4,4
0,1,0,0,1,Acne,26-35,Sunscreen,1,0
0,0,0,0,1,Sensitivity,46-55,Facial Treatment,3,5
1,0,0,0,1,Eczema,26-35,Eye Moisturizer,1,2
1,0,0,0,1,Eczema,46-55,Night Moisturizer,3,2
1,0,0,0,0,Dryness,36-45,Essence,2,1
1,0,0,0,0,Dryness,18-25,Serum,0,1
1,0,0,0,0,Redness,56+,Eye Moisturizer,4,4
1,0,0,0,0,Eczema,18-25,General Moisturizer,0,2
0,1,0,0,0,Acne,18-25,Wet Mask,0,0
1,0,0,0,0,Redness,56+,Face Cleanser,4,4
1,0,0,0,0,Eczema,56+,Face Cleanser,4,2
0,0,0,0,1,Redness,36-45,Wet Mask,2,4
1,0,0,0,0,Eczema,36-45,Serum,2,2
0,0,0,0,1,Sensitivity,26-35,Face Cleanser,1,5
1,0,0,0,0,Redness,26-35,Overnight Mask,1,4
0,0,0,0,1,Sensitivity,26-35,Facial Treatment,1,5
1,0,0,0,0,Dryness,46-55,Face Cleanser,3,1
1,1,0,0,0,Acne,26-35,Sunscreen,1,0
1,0,0,0,0,Eczema,46-55,Sunscreen,3,2
1,0,0,0,0,Hyperpigmentation,46-55,Face Cleanser,3,3
0,0,0,0,1,Sensitivity,18-25,General Moisturizer,0,5
1,0,0,0,0,Hyperpigmentation,36-45,Oil,2,3
0,0,0,0,1,Redness,18-25,Sheet Mask,0,4
0,0,0,0,1,Eczema,36-45,Sunscreen,2,2
1,0,0,0,0,Dryness,36-45,General Moisturizer,2,1
1,0,0,0,0,Redness,56+,Toner,4,4
0,0,0,0,1,Redness,26-35,Night Moisturizer,1,4
0,1,0,0,0,Eczema,18-25,Face Cleanser,0,2
0,1,0,0,0,Acne,18-25,Serum,0,0
0,1,0,0,0,Eczema,46-55,Facial Treatment,3,2
0,1,1,1,0,Eczema,36-45,Face Cleanser,2,2
1,0,0,0,0,Hyperpigmentation,26-35,Toner,1,3
1,0,0,0,0,Eczema,18-25,General Moisturizer,0,2
1,0,0,0,0,Redness,46-55,Eye Moisturizer,3,4
1,0,0,0,0,Hyperpigmentation,18-25,Overnight Mask,0,3
1,0,0,0,0,Eczema,46-55,Night Moisturizer,3,2
0,1,0,0,0,Acne,26-35,General Moisturizer,1,0
1,0,0,0,1,Eczema,18-25,Day Moisturizer,0,2
1,0,0,0,0,Dryness,18-25,Day Moisturizer,0,1
1,1,0,0,0,Acne,46-55,Sunscreen,3,0
1,0,0,0,0,Eczema,26-35,Face Cleanser,1,2
1,0,0,0,0,Eczema,26-35,Eye Moisturizer,1,2
0,1,0,0,0,Acne,26-35,General Moisturizer,1,0
0,0,0,0,1,Sensitivity,56+,General Moisturizer,4,5
1,0,0,0,0,Redness,56+,Overnight Mask,4,4
0,0,0,0,1,Eczema,46-55,Face Cleanser,3,2
1,0,0,0,0,Eczema,26-35,Facial Treatment,1,2
0,0,0,0,1,Redness,18-25,Sheet Mask,0,4
0,0,0,0,1,Eczema,46-55,Wet Mask,3,2
1,0,0,0,0,Hyperpigmentation,36-45,Oil,2,3
1,0,0,0,0,Hyperpigmentation,36-45,Wet Mask,2,3
